Project,Approximate Portfolio,Approximate Sub-Portfolio,Confidence,Classification Note
icoMetrix,"Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"ICU Medical - Lifeshield & Plum Pump","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"ICU Medical - LifeShield and Plum Pump","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"ICU Medical Plum LifeShield","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"iKnowMed Gen2 Listener",Oncology,"Radiation / Medical Oncology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Illumina - MiSeq i100","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Illumina ICA & ICI","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Image Protocol Manager","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
ImageTrend,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Imalogix - Imalogix Platform","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"iMLR_iCare Intelligence (care gap closure platform)","Digital Health & Consumer","Digital Front Door / Patient Engagement",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Immulink,"Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Indica - HaloAP","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"InfoSec - Policies","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
inHEART,Cardiology,"Cardiovascular Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Insightec Inc - ExAblate Neuro magnetic resonance image-guided focused ultrasound (MRgFUS) system","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Intelerad - InteleOrchestrator (Clario-SmartWorklist)","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Intersystems - Intergration Engine","Infrastructure, Cloud & Platform","Core Infrastructure / Platform",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Intersystems Health Connect (VEC)","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Intuitive Hub","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"inVita - iRefferal","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"inVita - NRTR","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
iReferral,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
iSynergy,"Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
J&J_Acclarent,"Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Jaco - GCX upgrade Project","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Jaeger SentrySuite","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Johnson and Johnson - Polyphonic Platform","Infrastructure, Cloud & Platform","Core Infrastructure / Platform",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Johnson Controls (JCI)","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Johnson Controls International","Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Jolt,"Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Jupiter Systems - Catalyst","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"KeyCentrix NewLeaf","Pharmacy & Medication Management","Medication Management",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Kirsha LLC","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Kodiak RCA Next","Data & Analytics","BI / Analytics / Data",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"KONZA - KHIN","Enterprise Clinical Applications","Clinical Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Label Printing Solution - LPS","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
LabVantage,"Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Laerdal LLEAP","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Leica - Digital Pathology","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Lenel_Milestone,"Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"LenelS2 OnGuard - THH","Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Life Systems International LSI -  Cardio ECG Telemetry System",Cardiology,"Cardiovascular Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Lightbeam,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Linus Health","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"LivaNova Perfusion - Epic Integration",Cardiology,"Cardiovascular Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"LogTag Online","ERP and Enterprise Business Systems","ERP and Enterprise Business Systems",High,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Luma Vision - VERAFEYE imaging & Guidance System","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
LumineticsCore,"Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Lunit Insight","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Lutech,"Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Mayo Collaborative Services, Inc - MayoAccess","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
MD-Stat,"Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
MedServe,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Medtox-MEDTOXScan Reader and System","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Medtronic,"Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Medtronic PillCam Genius and Cloud Reader","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Merge Hemo",Cardiology,"Cardiovascular Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Meridian - BreathID","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Meridian - Curian Instrument","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Mersive Solstice","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Midmark,"Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Milestone,"Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Mindray,"Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Mindray - Resona 7 Ultrasound","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Modlink,"Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Monaco,Oncology,"Radiation / Medical Oncology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Mosiac,Oncology,"Radiation / Medical Oncology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"mTilda Upgrade","Health Information Management & Revenue Cycle","HIM / Coding / Revenue Integrity",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Murj,Cardiology,"Cardiovascular Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
MYLA,"Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Natus EEG Sleepworks","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Natus NeuroWorks and SleepWorks","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Naviswiss - Naviswiss System","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"ndd Medical - EasyOne Air Spirometry","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Neogen,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"NeoGenomics & FCS Express",Oncology,"Radiation / Medical Oncology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"NeoGenomics - 3m Clean-Trace ATP Monitoring System","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"NeoGenomics And FCS Express","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"NewCura - Endomanager","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"NIH - dbGaP","Research & Academic","Research / Education",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Nihon Koden - Transport NKV330, Trolley Accessories","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"NMIS EC2","Infrastructure, Cloud & Platform","Core Infrastructure / Platform",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
NordicMediva,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Nova biomedical - Novanet","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"NQS - National Quality Systems","Enterprise Clinical Applications","Clinical Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"NRAA CrownWeb Activator Server","Enterprise Clinical Applications","Clinical Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"NT-Ware - UniFlow","Infrastructure, Cloud & Platform","Core Infrastructure / Platform",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Nuance Communications","Health Information Management & Revenue Cycle","HIM / Coding / Revenue Integrity",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Nuance Epic Notereader","Health Information Management & Revenue Cycle","HIM / Coding / Revenue Integrity",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Nuance PowerScribe","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Octogos,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"OLD do not use Parata Pharmacy Automation","Pharmacy & Medication Management","Medication Management",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Olympus Corporation of the Americas - Caddie (Odin Vision)","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Olympus Corporation of the Americas, Inc - nCare","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Olympus Corporation of the Americas, Inc - Vaultstream","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Olympus Unifia","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Omatic,"Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Omega Medical AI E-VIEW","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Omnigo Software, LLC","Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
OmniGuard,"Security, Identity & Compliance","Cybersecurity / IAM / Compliance",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"OnBase (VEC)","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Optum Assurance","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Optum Claims Manager","Health Information Management & Revenue Cycle","HIM / Coding / Revenue Integrity",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Optum eCAC","Health Information Management & Revenue Cycle","HIM / Coding / Revenue Integrity",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Optum Integrity One","Health Information Management & Revenue Cycle","HIM / Coding / Revenue Integrity",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Orthogrid AI","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Ospitek Inc - View by Ospitek","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Outset - Tablo","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Oxford Nanopore Technologies Inc - ElysION","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"OZ Nani","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
PaceMate,Cardiology,"Cardiovascular Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Paige AI Platform","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Pak-EDGE,"Infrastructure, Cloud & Platform","Core Infrastructure / Platform",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Parachute Health","Digital Health & Consumer","Digital Front Door / Patient Engagement",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Parata,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Parchment Data Automation","Health Information Management & Revenue Cycle","HIM / Coding / Revenue Integrity",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"ParkourSC - ParkourSC","Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Patch My PC","Security, Identity & Compliance","Cybersecurity / IAM / Compliance",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
PatientPoint,"Digital Health & Consumer","Digital Front Door / Patient Engagement",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"PeriGen - PeriWatch Vigilance","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
PeritasAI,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
PeriWatch,"Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"PEVCO Atlas","Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Pevco Pneumatic Tube system","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
PharmGuard,"Pharmacy & Medication Management","Medication Management",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Pharos Lighting Playback Controller","Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Philips - DynaCad 5 Urology","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Philips - IntraSight",Cardiology,"Cardiovascular Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Philips - iQon","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Philips Capsule","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Philips Capsule (VEC)","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Philips IBE","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Philips-Telemetry Patient Monitoring","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Phillips IBE","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Phillips PIC iX","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Phoenix - AIMS 3 CMMS","Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Phoenix - AIMS3","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
Phreesia,"Digital Health & Consumer","Digital Front Door / Patient Engagement",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Physician Systems","Health Information Management & Revenue Cycle","HIM / Coding / Revenue Integrity",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Pillar Biosciences - PiVAT","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
PointClickCare,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
PreciseMDX,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
Preventice,Cardiology,"Cardiovascular Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Prismax - Vantive Healthcare US LLC","Clinical Care & Patient Monitoring","Bedside Care / Monitoring",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Procept Biorobotics - Procept Aquabeam","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Progress Software - ECS Connection Manager (ECM)","Infrastructure, Cloud & Platform","Core Infrastructure / Platform",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Project CoolGuy","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Project-inventory-2.txt,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
project-inventory.txt,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Projects agent.agent","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Proofpoint - Email Security","Security, Identity & Compliance","Cybersecurity / IAM / Compliance",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Protenus_Privacy Patient Monitoring","Security, Identity & Compliance","Cybersecurity / IAM / Compliance",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Provation Flex Sig Video","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Proximie,"Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"PXS710D 10x12 Tethered System","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"Qiagen - QIASphere","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"QSight RFID","Pharmacy & Medication Management","Medication Management",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Quest Software - Toad for Oracle DBA Suite","Infrastructure, Cloud & Platform","Core Infrastructure / Platform",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Quicktome,"Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
"QuiqMeds (Adherent 360)","Pharmacy & Medication Management","Medication Management",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Qure.Ai,"Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
RackSpace,"Infrastructure, Cloud & Platform","Core Infrastructure / Platform",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Rad AI","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Rad Oncology - Winter Garden (MOB)",Oncology,"Radiation / Medical Oncology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Radformation,Oncology,"Radiation / Medical Oncology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Radialogica SciMoCa",Oncology,"Radiation / Medical Oncology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
RadiantOne,"Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Alternate plausible portfolio: Security, Identity & Compliance."
"Radlink Inc - GPS Tower With Surgeon's Checklist","Surgery & Perioperative","OR / Procedural Services",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Rally Corp","Needs Review / Administrative Artifact","Unclassified / Non-project artifact",Low,"Approximate classification based on project/vendor/solution name; validate with portfolio owner. Added from live catalog sync; no confident vendor/solution match."
Rapid.AI,"Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Rauland,"Facilities, Physical Security & Communications","Facilities / Safety / Communications",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
RedCap,"Research & Academic","Research / Education",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Redmond - LAV Legacy Archive Viewer","Imaging & Radiology","Enterprise Imaging / Radiology Workflow",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
Remisol,"Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Remisol- Hinsdale upg 2-2026","Laboratory & Pathology","Clinical Laboratory / Anatomic Pathology",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Research Inst - MITXPC Data Migration","Research & Academic","Research / Education",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
RetailSTAR,"Business, Workforce & Administrative","Corporate / Workforce / Administrative",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"Rhyme Healtcare - Rhyme Healtcare","Digital Health & Consumer","Digital Front Door / Patient Engagement",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
"RMS Starlink","Infrastructure, Cloud & Platform","Core Infrastructure / Platform",Medium,"Approximate classification based on project/vendor/solution name; validate with portfolio owner."
